ID;Ano;Mes;Solicitante;Beneficiario;Tipo_Solicitante;Sub_Tipo_Dispensa;Resolucion;Moneda;Valor_CIF_Suma
68;316;1;Anthonys Key Hotel Corporation S.A. De C.V.;Anthonys Key Hotel Corporation S.A. De C.V.;Dispensas Especiales;Zolitur;Con Lugar;1;3353438
69;316;1;Iglesia Catolica De Honduras;Diocesis Santa Rosa De Copan;Solicitud De Venta De Veh;Venta Iglesias Previo Pago;Con Lugar;1;4514783
70;316;1;Secretaria De Salud;Region Departamental  De Salud Lempira;Dispensas Oficiales;Donaciones Sector Publico (Decreto 18-90);Con Lugar;1;815676
71;316;1;Iglesia Catolica De Honduras;Arquidiocesis De Tegucigalpa Conferencia Espiscopal De Honduras;Dispensas Especiales;Iglesia Catolica De Honduras;Con Lugar;1;2294484
72;316;1;Banco Centroamericano De Integracion Economica;Anisorc Brito Ramirez;Solicitud De Venta De Veh;Venta Para Funcionarios Del Bcie;Con Lugar;1;16300
73;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;24300
74;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;198000
75;316;1;Embajada De Los Estados Unidos De America;Ernesto Cano Jr;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;753483
76;316;1;Embajada De Los Estados Unidos De America;Theodore Le Boutillier Glen Iv;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;296386
77;316;1;Embajada De Los Estados Unidos De America;Jamina Sofhia Ramirez;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;2562613
78;316;1;Embajada De Los Estados Unidos De America;Theodore Le Boutillier Glen Iv;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;2478946
79;316;1;Secretaria De Salud;Programa Ampliado  De Inmunizaciones;Dispensas Oficiales;Secretaria De Salud Compras;Con Lugar;1;1211216
80;316;1;Sociedad Educacional Interamericana De Tegucigalpa;Sociedad Educacional Interamericana De Tegucigalpa;Solicitud De Venta De Veh;Venta Previo Pago Ong;Con Lugar;1;26199
81;316;1;Carlos Danilo Suazo Mejia;Carlos Danilo Suazo Mejia;Dispensas Especiales;Hondureño Ausente;Con Lugar;1;17500
82;316;1;Bay Island Electric Suply Y Plaza Mar;Bay Island Electric Suply Y Plaza Mar;Dispensas Especiales;Zolitur;Con Lugar;1;92304
83;316;1;Grupo Galindo, S.A.;Grupo Galindo, S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;244421
84;316;1;Cash & Oro Roatan, S. De R.L. De C.V.;Cash & Oro Roatan, S. De R.L. De C.V.;Dispensas Especiales;Zolitur;Con Lugar;1;1120997
85;316;1;Diamonds International Honduras, S.A.;Diamonds International Honduras, S.A.;Permisos Especiales De Re;Permisos Especiales De Reexportacion;Con Lugar;1;953741
86;316;1;Dufry Roatan, S.A.;Dufry Roatan, S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;8844503
87;316;1;Diamonds International Honduras, S.A.;Diamonds International Honduras, S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;110381729
88;316;1;Diamonds International Honduras, S.A.;Diamonds International Honduras, S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;150146
89;316;1;Happy Hogs Imports Sa.;Happy Hogs Imports Sa.;Dispensas Especiales;Zolitur;Con Lugar;1;2664268
90;316;1;Compañia Hondureña De Energia Solar S.A De C.V (Cohessa);Solar Fotovoltaico Valle;Dispensas Especiales;Enegia Solar;Con Lugar;1;524412
91;316;1;Compañia Hondureña De Energia Solar S.A De C.V (Cohessa);Solar Fotovoltaico Valle;Dispensas Especiales;Enegia Solar;Con Lugar;1;8282728
92;316;1;Compañia Hondureña De Energia Solar S.A De C.V (Cohessa);Solar Fotovoltaico Valle;Dispensas Especiales;Enegia Solar;Con Lugar;1;2699730
93;316;1;Solar Power S.A De C.V (Soposa);Proyecto Solar Fotovoltaico Nacaome I;Dispensas Especiales;Enegia Solar;Con Lugar;1;2699730
94;316;1;Embajada De Los Estados Unidos De America;Theodore Le Boutillier Glen Iv;Dispensas Oficiales;Diplomaticos Y Funcionarios De Embajadas;Con Lugar;1;33222
95;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;232602
96;316;1;Corporacion Centroamericana De Servicios De Navegacion Aerea  Cocesna;Cosesna;Dispensas Oficiales;Corporacion Centroamericana De Servicios De Navegacion Aerea Cocesna;Con Lugar;1;807717
97;316;1;Corporacion Centroamericana De Servicios De Navegacion Aerea  Cocesna;Cosesna;Dispensas Oficiales;Corporacion Centroamericana De Servicios De Navegacion Aerea Cocesna;Con Lugar;1;38165
98;316;1;Programa Mundial De Alimentos Pma;Programa Mundial De Alimentos  Pma;Dispensas Oficiales;Fao/Pma;Con Lugar;1;17528054
99;316;1;Iglesia Catolica De Honduras;Parroquia Nuestra Señora De Guadalupe De La Lima Cortes;Dispensas Especiales;Iglesia Catolica De Honduras;Con Lugar;1;666538
100;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;24750
101;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;24750
102;316;1;Embajada De Los Estados Unidos De America;Carlos Manuel Gonzalez;Dispensas Oficiales;Embajadas;Con Lugar;1;14739
103;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;3608901
104;316;1;Secretaria De Salud;Laboratorio De Virología Dependiente De La División De Laboratorio;Dispensas Oficiales;Donaciones Sector Publico (Decreto 18-90);Con Lugar;1;520414
105;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;5381903
106;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;49646677
107;316;1;Mecanismos De Energía Renovable S.A. De C.V. (Mecer);Proyecto Solar Del Sur;Dispensas Especiales;Hidroelectrica Para Autoconsumo;Con Lugar;1;2290605
108;316;1;Hidroelectricas De Occidente S De R.L.C.V;Proyecto Hidroelectrico Pencaligue;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;531855
109;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;16145318
110;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;3093709
111;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;2848865
112;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;3316804
113;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;7201247
114;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;106619109
115;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;23046152
116;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;3225608
117;316;1;Diamonds International Honduras, S.A.;Diamonds International Honduras, S.A.;Permisos Especiales De Re;Permisos Especiales De Reexportacion;Con Lugar;1;14002969
118;316;1;Telered, S.A;Telered, S.A;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;10255122
119;316;1;Telered, S.A;Telered, S.A;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;10555038
120;316;1;Hondureña De Television, S.A Mas Tv;Hondureña De Television, S.A Mas Tv;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;9682607
121;316;1;Hondureña De Television, S.A Mas Tv;Hondureña De Television, S.A Mas Tv;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;8096645
122;316;1;Hondureña De Television, S.A Mas Tv;Hondureña De Television, S.A Mas Tv;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;46569
123;316;1;Corporacion Centroamericana De Comunicaciones S.A. De C. V. (Vica);Corporacion Centroamericana De Comunicacion S.A. De C.V. (Vica);Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;30748418
124;316;1;Empresa Eldi S. De R.L. (Canal 12);Empresa Eldi S. De R.L. (Canal 12);Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;49556727
125;316;1;Empresa Eldi S. De R.L. (Canal 12);Empresa Eldi S. De R.L. (Canal 12);Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;21288546
126;316;1;Grupo G Telecomunicaciones De Honduras;Grupo G Telecomunicaciones De Honduras;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;16807631
127;316;1;Grupo G Telecomunicaciones De Honduras;Grupo G Telecomunicaciones De Honduras;Dispensas Especiales;Emision Del Pensamiento / Radio Y Tv;Con Lugar;1;12179245
128;316;1;Hidroelectrica Olanchana, S.A. De C.V.;Proyecto Hidroelectrico Ojo De Agua;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;83437243
129;316;1;Sociedad Mercantil Consorcio Goascoran;Corredor Logistico Carretera Villa De San Antonio-Goascoran Seccion Ii El Quebrachal-Puente San Juan Ii-Goascoran;Dispensas Especiales;Constructoras-Proyectos Nacionales;Con Lugar;1;17900001
130;316;1;Sociedad Mercantil Consorcio Goascoran;Corredor Logistico Carretera Villa De San Antonio-Goascoran Seccion Ii El Quebrachal-Puente San Juan Ii-Goascoran;Dispensas Especiales;Constructoras-Proyectos Nacionales;Con Lugar;1;111007147
131;316;1;Hgpc Agricola S.A. De C.V.;Hgpc Agricola S.A. De C.V.;Dispensas Especiales;Biocumbustibles ( Energia Limpia);Con Lugar;1;279757
132;316;1;Prima Collection, S.A.;Prima Collection S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;25876991
133;316;1;Carnavalero Roatán S.A.;Carnavalero Roatán S.A.;Dispensas Especiales;Zolitur;Con Lugar;1;3651819
134;316;1;Fundacion Camo  Honduras;Fundacion Camo  Honduras;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;31469281
135;316;1;Hidroelectrica Olanchana, S.A. De C.V.;Proyecto Hidroelectrico Ojo De Agua;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;224300505
136;316;1;Asociacion Evangelistica Larry Jones Feed The Children;Alicia  Esther Duarte Peralta;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;3202482
137;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;84496237
138;316;1;Geotermica Platanares S.A .De C.V.  (Geoplatanares);Proyecto Geotermica Platanares;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;68739397
139;316;1;Fundacion Una Mano Que Ayuda;Fundacion Una Mano Que Ayuda;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;54705
140;316;1;Honduran Green Power Corporation S.A. De C.V.;Honduran Green Power Corporation S.A. De C.V.;Dispensas Especiales;Energia Hidroelectrica;Con Lugar;1;3694519
141;316;1;Empresa Cobra Instalaciones Y Servicios S.A.;Proyecto Eolico San Marcos;Dispensas Especiales;Cobra Instalaciones;Con Lugar;1;1648493
142;316;1;Secretaria De Salud;Laboratorio Nacional De Vigilancia De La Salud;Dispensas Oficiales;Secretaria De Salud Compras;Con Lugar;1;32600
143;316;1;Empresa Servicios Turisticos Y Hoteleros De Honduras S.A.;Proyecto Hotel Quinta Inn & Suite;Dispensas Especiales;Incentivos Al Turismo;Con Lugar;1;1300000
144;316;1;Empresa Servicios Turisticos Y Hoteleros De Honduras S.A.;Proyecto Hotel Quinta Inn & Suite;Dispensas Especiales;Incentivos Al Turismo;Con Lugar;1;1200000
145;316;1;Cooperación Suiza Al Desarrollo   Cosude;Cooperación Suiza Al Desarrollo   Cosude;Permisos Oficiales Reexpo;Organismos Internacionales Menaje Y Vehiculos;Con Lugar;1;16150
146;316;1;Cooperación Suiza Al Desarrollo   Cosude;Cosude Cooperación Suiza Al Desarrollo Y Cooperacion En Nicaragua;Permisos Oficiales Reexpo;Organismos Internacionales Menaje Y Vehiculos;Con Lugar;1;19000
147;316;1;Cooperación Suiza Al Desarrollo   Cosude;Cooperación Suiza Al Desarrollo   Cosude;Permisos Oficiales Reexpo;Organismos Internacionales Menaje Y Vehiculos;Con Lugar;1;19000
148;316;1;Ministerio Alimentando A Los Pequeñitos De Dios;Ministerio Alimentando A Los Pequeñitos De Dios;Dispensas Especiales;Confraternidad Evangelica;Con Lugar;1;999368
149;316;1;La Asociacion  Capacitacion Educacion, Produccion, Unificacion, Desarrollo, Organizacion    Cepudo;Cepudo;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;427434
150;316;1;Cruz Roja  Hondureña;Cruz Roja Hondureña;Dispensas Especiales;Cruz Roja Hondureña / Compras;Con Lugar;1;32002
151;316;1;Secretaria De Educacion;Proyecto De Construccion Equipamiento Y Capacitacion De Escuelas De Educacion Basica Obligatoria De Nueve Grados Y Pre-Basica En Comunidades De Extrema Pobreza Ii Fase;Dispensas Oficiales;Donaciones Sector Publico (Convenio);Con Lugar;1;1555824
152;316;1;Fuerzas Armadas De Honduras;Estado Mayor Conjunto;Dispensas Oficiales;Donaciones Sector Publico (Decreto 18-90);Con Lugar;1;12675834
153;316;1;Hogar  De Niños Enmanuel;Hogar De Niños Enmanuel;Dispensas Especiales;Organizaciones Sin Fines De Lucro/ Donaciones;Con Lugar;1;14490
154;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;2209
155;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;2049125
156;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;2049125
157;316;1;Embajada De Los Estados Unidos De America;Embajada De Los Estados Unidos De America;Dispensas Oficiales;Embajadas;Con Lugar;1;274572
158;316;1;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Embajada De La Soberana Orden Militar Hospitalaria De Malta;Dispensas Oficiales;Embajadas;Con Lugar;1;14689
159;316;1;Embajada De España;Embajada De España;Dispensas Oficiales;Embajadas;Con Lugar;1;95124
160;316;1;Escuela Agricola Panamericana;Escuela Agricola Panamericana;Dispensas Oficiales;Escuela Agricola Panamericana (El Zamorano);Con Lugar;1;24500
161;316;1;Escuela Agricola Panamericana;Escuela Agricola Panamericana;Dispensas Oficiales;Escuela Agricola Panamericana (El Zamorano);Con Lugar;1;106800
